Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-02,INFY,EQ,1010.6,1011.1,1012.95,999.35,1002.9,1001.1,1004.35,1167611,117269441590000.02,28829,574481,0.49200000000000005
2017-01-03,INFY,EQ,1001.1,1004.1,1004.9,982.0,995.05,993.85,989.67,3389241,335422526435000.0,113621,2102873,0.6204999999999999
2017-01-04,INFY,EQ,993.85,995.05,1004.2,992.25,992.45,997.75,998.94,3536793,353303801460000.0,99650,2845068,0.8044
2017-01-05,INFY,EQ,997.75,1001.6,1009.5,988.75,996.2,996.15,1000.19,4103537,410432514970000.0,100603,2906621,0.7083
2017-01-06,INFY,EQ,996.15,994.9,998.85,968.05,977.3,972.25,973.69,7196724,700739261910000.0,171262,5117393,0.7111
2017-01-09,INFY,EQ,972.25,972.25,976.95,965.0,970.0,970.35,969.08,5272846,510983370285000.06,86963,4055990,0.7692
2017-01-10,INFY,EQ,970.35,977.0,981.0,967.95,971.15,970.55,973.74,5969927,581315990530000.0,97596,4934769,0.8266
2017-01-11,INFY,EQ,970.55,974.2,978.45,963.95,969.4,969.1,967.78,6120787,592356183200000.0,192442,5112774,0.8353
2017-01-12,INFY,EQ,969.1,977.55,1004.4,977.55,1001.5,1000.05,992.36,5927870,588257439390000.0,152968,4411560,0.7442000000000001
2017-01-13,INFY,EQ,1000.05,1030.0,1040.0,962.7,972.6,975.8,992.9,15638123,1552715307030000.0,327113,6396722,0.409
2017-01-16,INFY,EQ,975.8,965.0,965.45,952.45,957.45,955.65,959.11,6175686,592313261825000.0,139257,4103616,0.6645000000000001
2017-01-17,INFY,EQ,955.65,956.25,964.0,952.4,955.55,955.4,958.04,2780047,266338630615000.0,80315,1855612,0.6675
2017-01-18,INFY,EQ,955.4,958.1,961.0,949.8,950.9,950.8,955.6,2976481,284432391880000.0,109771,2237717,0.7518000000000001
2017-01-19,INFY,EQ,950.8,951.0,959.6,948.1,957.5,958.1,954.0,4438240,423406851795000.0,139441,3419253,0.7704000000000001
2017-01-20,INFY,EQ,958.1,950.0,953.15,946.0,946.15,948.7,949.0,4562371,432970296985000.06,106341,3473135,0.7613
2017-01-23,INFY,EQ,948.7,945.0,958.0,940.0,952.95,952.7,953.45,3974290,378927895975000.0,116065,3061999,0.7705
2017-01-24,INFY,EQ,952.7,950.0,950.0,940.1,946.05,945.55,944.02,3413005,322195321940000.0,101476,2591594,0.7593000000000001
2017-01-25,INFY,EQ,945.55,946.1,946.8,934.8,936.55,936.6,939.73,4989045,468835534875000.0,123432,4067810,0.8153
2017-01-27,INFY,EQ,936.6,933.85,947.55,901.15,942.65,942.15,939.2,5317569,499426350289999.94,119331,3829337,0.7201000000000001
2017-01-30,INFY,EQ,942.15,937.5,951.5,928.85,948.05,949.35,943.57,5684604,536383372795000.0,147702,4540626,0.7988
2017-01-31,INFY,EQ,949.35,941.5,941.5,904.35,929.4,928.6,925.07,12034267,1113257252165000.0,275395,8079333,0.6714
2017-02-01,INFY,EQ,928.6,921.1,923.2,905.15,916.0,916.75,913.71,5765891,526837569720000.0,170177,3683002,0.6388
2017-02-02,INFY,EQ,916.75,917.0,945.0,910.1,934.7,935.9,931.77,5914134,551061342695000.0,123387,3446045,0.5827
2017-02-03,INFY,EQ,935.9,933.8,940.9,921.05,934.05,936.1,929.96,4211979,391697984335000.0,136814,2547270,0.6048
2017-02-06,INFY,EQ,936.1,937.25,943.75,930.55,934.0,935.25,935.91,3363967,314836259895000.0,90322,2314695,0.6881
2017-02-07,INFY,EQ,935.25,933.0,949.8,928.55,946.0,942.25,937.35,4634001,434370363005000.0,78781,3112165,0.6716
2017-02-08,INFY,EQ,942.25,936.0,944.1,932.45,934.0,936.5,936.48,3159981,295925545060000.0,104030,1911505,0.6049
2017-02-09,INFY,EQ,936.5,937.0,950.0,936.55,946.0,946.0,944.59,5953633,562372624380000.0,212836,4175914,0.7014
2017-02-10,INFY,EQ,946.0,946.25,972.0,943.3,967.0,968.3,959.62,6126226,587886773260000.0,147110,3794919,0.6195
2017-02-13,INFY,EQ,968.3,972.85,986.1,962.85,984.0,984.35,978.43,6862134,671408429075000.0,115322,4728443,0.6890999999999999
2017-02-14,INFY,EQ,984.35,980.0,989.0,972.35,987.75,987.7,982.86,4669409,458939317614999.94,93050,3466290,0.7423000000000001
2017-02-15,INFY,EQ,987.7,989.2,998.8,968.8,982.15,981.8,984.58,3629743,357375498415000.0,69110,2050457,0.5649000000000001
2017-02-16,INFY,EQ,981.8,991.0,1013.9,990.05,1012.0,1012.1,1004.57,6407929,643721788455000.0,114268,4334352,0.6764
2017-02-17,INFY,EQ,1012.1,1013.75,1013.75,992.7,999.0,1000.1,1000.09,2425604,242582688410000.0,67547,1218285,0.5023
2017-02-20,INFY,EQ,1000.1,996.5,1031.0,993.5,1030.0,1010.25,1002.49,2325331,233112929794999.97,57830,1302153,0.56
2017-02-21,INFY,EQ,1010.25,1022.1,1024.5,1000.05,1011.0,1013.6,1014.45,3806998,386201054430000.0,86430,2370356,0.6226
2017-02-22,INFY,EQ,1013.6,1015.0,1015.0,986.4,991.0,990.15,994.38,3303919,328535383380000.0,121253,2257631,0.6833
2017-02-23,INFY,EQ,990.15,998.9,1020.0,993.35,1006.55,1008.85,1009.55,4771328,481691630250000.0,103839,2997647,0.6283
2017-02-27,INFY,EQ,1008.85,1007.3,1023.0,1006.95,1013.05,1012.4,1017.4,2664348,271071492660000.0,83469,1726327,0.6479
2017-02-28,INFY,EQ,1012.4,1011.85,1022.7,1009.25,1012.0,1012.4,1014.8,2970066,301402267760000.0,93851,2034698,0.6851
2017-03-01,INFY,EQ,1012.4,1012.0,1027.0,1010.1,1025.25,1025.15,1024.23,2141224,219309587269999.97,114684,1433135,0.6693000000000001
2017-03-02,INFY,EQ,1025.15,1024.4,1028.0,1016.5,1018.9,1023.3,1024.05,1474249,150969890280000.0,42399,854240,0.5794
2017-03-03,INFY,EQ,1023.3,1010.25,1034.3,1000.4,1032.15,1031.2,1021.08,2700806,275772785075000.0,74416,1583078,0.5861999999999999
2017-03-06,INFY,EQ,1031.2,1020.05,1035.95,1019.7,1033.0,1033.9,1030.4,2643193,272353299255000.03,71674,1692358,0.6403
2017-03-07,INFY,EQ,1033.9,1022.0,1025.8,1014.7,1018.8,1019.8,1020.25,2322248,236926797035000.0,74091,1584296,0.6822
2017-03-08,INFY,EQ,1019.8,1016.9,1016.9,1004.45,1008.15,1007.8,1009.02,3089588,311746575005000.0,65695,2298442,0.7439
2017-03-09,INFY,EQ,1007.8,1007.8,1013.0,999.0,1011.2,1011.55,1007.88,1740315,175402766255000.0,80001,1024481,0.5887
2017-03-10,INFY,EQ,1011.55,1015.0,1027.65,1013.4,1021.5,1021.85,1021.75,2275162,232465763290000.0,66765,1545603,0.6793000000000001
2017-03-14,INFY,EQ,1021.85,1022.8,1041.9,1022.8,1035.3,1034.8,1034.12,3939198,407361217505000.0,93944,3000106,0.7615999999999999
2017-03-15,INFY,EQ,1034.8,1034.9,1034.9,1007.5,1011.2,1011.95,1013.81,3186989,323098861715000.0,135842,2077875,0.652
2017-03-16,INFY,EQ,1011.95,1013.3,1031.7,1013.3,1029.0,1028.85,1024.89,3351478,343489491625000.0,91634,2608709,0.7784000000000001
2017-03-17,INFY,EQ,1028.85,1035.4,1042.9,1019.25,1039.0,1040.3,1034.03,4753923,491568688745000.0,132876,3727612,0.7841
2017-03-20,INFY,EQ,1040.3,1026.55,1026.55,1015.1,1020.3,1021.5,1020.31,2213694,225865253275000.0,85988,1405382,0.6349
